Martin,Obama
"Michel Martin: So thank you for having us. Thank you for receiving us here at your office, which is amazing.",Former President Barack Obama: It's wonderful to have you.
"Have you developed any interesting COVID habits? Like some people are gardening. Mrs. Obama indicated she was learning to knit. Some of us who would kill any plant have somehow managed to manage a garden this year. Not talking about anybody in particular, just hypothetically. How about you? ","I have to say Michelle is not just starting to knit. She's become this extraordinary knitter, which, I told her the other day, it's kind of weird how good you've gotten at this thing. She's making sweaters and scarves and caps and —"
OK. But what about you? ,"I cannot claim to have cultivated a new hobby, partly because I was busy finishing the book up until a couple of months ago. And then we had this campaign that I had to participate in a little more than I had anticipated. So, who knows? I may start up something."
"Well, let's talk about the campaign. How do you understand the election results? I mean, by that I mean, Joe Biden and Kamala Harris win the White House, but Republicans make gains in the House. And in fact, Republicans now control more state legislatures than at any point in U.S. history. They control both legislative houses in 32 states. And of course, we are speaking at a time when there are more than 10 million COVID cases in the United States, 240,000 people have died. This is as, just as we are speaking now. Yet 70 million people voted for the incumbent who presided over all this. So what do you thinks going on here? How do you understand it? ","Look, I think there's no doubt that the country is deeply divided right now. And, you know, when I think back even to my own first presidential election in 2008, the country didn't feel this divided, what some people have called the great sort in which you have a combination of a political, cultural, ideological, in some cases, religious and geographical divide that seems to be deeper than just differences in policy. A lot of that I think has to do with changes in how people get information. I've spoken about this before, I write about this in my book. If you watch Fox News, you perceive a different reality than if you read The New York Times and that didn't use to be as stark because you had local newspapers and you had people overlapping in terms of where they got information. But now partly because of social media and sort of the echo chamber, a lot of the people who voted for Donald Trump do not believe that in fact COVID was mishandled, contrary to the facts that now you or I might assert, those aren't the facts that they accept. And I think that until we can start having a common baseline of facts from which to discuss the direction of the country, we're going to continue to have some of these issues. Now part of it is also the fact that the Republican Party — because you mentioned state legislatures — Democrats tend to now be primarily in metropolitan areas, not just cities, but surrounding suburbs, metro areas and Republicans are spread out more in less densely populated rural areas. That gives them a huge advantage automatically in the Senate. It gives them a big advantage with respect to state legislative races and even gives them some advantage in congressional races. So, Joe Biden can win by 5 million votes in the popular vote, but because of how those votes are distributed, Democrats are going to be at a disadvantage. All of which means that I am thrilled that Joe and Kamala have won. I believe that they will restore a bunch of norms — respect for science, respect for facts, respect for rule of law that I think have been breached over the last four years — but some of the bigger challenges in bringing the country together, that's going to be a project that goes beyond just one election."
"I want to talk more about that at the end of our conversation, but as we are speaking now, President Trump is refusing to concede, and he's refusing to even to cooperate with the transition. How do you understand that? What do you think that is? Some people are calling it a tantrum, other people take it a lot more seriously. How do you understand it? ","I take it seriously. I don't think he'll be successful in denying reality. And you're starting to see a few Republican elected officials go ahead and say, ""Look, Joe Biden has been elected and we need to move on in the transition."" I'm distressed that you haven't seen more Republican leadership make this clear because the amount of time that's being lost of in this transition process has real-world effects. Look, we're in the middle of a pandemic. We're in the middle of an economic crisis. We have serious national security issues."
"And as I describe when I was elected for all the differences that I had with George W. Bush, he and his administration could not have been more gracious and effective in working with us to facilitate a smooth transition. And since we were in the middle of a big financial crisis, at that point, my ability to get fully briefed from a Hank Paulson, my abilities — since we were in the middle of two wars — to get immediately briefed on what was happening in Afghanistan and Iraq, what terrorist threats were out there that meant we hit the ground running and allowed us to be more effective in our responses. And so, it is yet one more example of how Donald Trump's breach of basic democratic norms is hurting the American people.","So I'm not going to ask you what advice you'd give to Joe Biden, because presumably you would tell him yourself, but you're a proponent, you've always been a proponent of people power. Is there something that you think citizens should be doing right now? "
"Well, look, getting a handle on this public health issue is going to require all of our cooperation. It's been tough for the American people because they haven't been getting one clear set of guidelines and information, and all of us, no matter how well-informed or conscientious we've been, have at times been confused with a bunch of conflicting notions of how we should be dealing with this.","I think priority No. 1 — and I'm confident Joe will do this. He's got Ron Klain as chief of staff who was my point person for dealing with the Ebola crisis, understands this stuff. All of us as citizens need to work and get behind a clear plan for getting this pandemic under control. Because if we can get the pandemic under control, the economy then is in a position to start bouncing back. But beyond that, what I think all of us as citizens are going to have to do is to really start examining what can each of us do, whether it's at the local level, in our own families, to step back from the demonization of each other, the bitter partisan divides that we're seeing, and ask ourselves: What role can we play in rebuilding social trust? And look, it's a hard thing to do. And again, I don't want to make mass media as the boogeyman. But, when you look at these information silos in Facebook and other social media and the rabbit holes that people are following, the denial of facts, the belief in wild conspiracy theories like QAnon getting real traction, each of us have some responsibilities to start thinking carefully about not being so gullible and just accepting whatever it is that we're seeing pop up on our phones."
"To that end, I was struck in reading the book by the parallels of this moment with when you took office, your first months in office were spent, as you said, focusing on economic recovery, H1N1, remember that, developing the Affordable Care Act, and President-elect Biden starts with a similar set of challenges: a global health crisis, an economic crisis that flows from sort of that health crisis. He also has a similar commitment to being bipartisan. And as with your presidency, it does seem that there's an effort to deny him legitimacy as with your presidency. And we actually heard it with our reporters in the field over election night, there were people saying, I will never recognize Joe Biden as my president, which certainly has to sound familiar to you. ",Right.
"And I think that the lesson that some people are going to draw from your experience is don't do it: This idea of being bipartisan is a fool's errand and that the only thing that really works is expanding your base, keeping it fired up and trying to take it all. I mean, how do you respond to that? ","I think it's fair to conclude from my experience in '08, '09, 2010 that we should always reach out to try to get bipartisan cooperation because the Democrats are not going to have a supermajority in the Senate. They're not going to be able to break filibusters routinely. And so if you want to get some stuff done, Joe Biden is going to have to work with some Republican colleagues in the Senate."
"But I think it is a fair critique to say that if you are seeing constant obstruction just for the sake of obstruction, where there doesn't seem a desire to cooperate even on issues or policies that Republicans previously themselves promoted as happened during my presidency — I'm very careful to remind everybody that the model for the Affordable Care Act was a plan that Mitt Romney had successfully passed with Ted Kennedy in Massachusetts.","And when I start talking about climate change issues, I describe how the cap-and-trade system was a policy that George H.W. Bush, a Republican, had implemented in solving other environmental issues."
