Keywords,Sentence
born,"I was born on August 4, 1961, at Kapiolani Medical Center for Women and Children in Honolulu, Hawaii."
Kapiolani Medical Center for Women and Children,"I was born on August 4, 1961, at Kapiolani Medical Center for Women and Children in Honolulu, Hawaii."
"August 4, 1961,","I was born on August 4, 1961, at Kapiolani Medical Center for Women and Children in Honolulu, Hawaii."
president,I am the only president born outside the contiguous 48 states.
states.,I am the only president born outside the contiguous 48 states.
born,I am the only president born outside the contiguous 48 states.
48,I am the only president born outside the contiguous 48 states.
mother,I was born to an American mother and a Kenyan father.
born,I was born to an American mother and a Kenyan father.
Kenyan,I was born to an American mother and a Kenyan father.
American,I was born to an American mother and a Kenyan father.
Ann Dunham,"My mother, Ann Dunham (1942–1995), was born in Wichita,"
born,"My mother, Ann Dunham (1942–1995), was born in Wichita,"
descent.,Kansas; she was mostly of English descent.
English,Kansas; she was mostly of English descent.
lived,"In July 2012, Ancestry.com found a strong likelihood that Dunham was descended from John Punch, an enslaved African man who lived in the Colony of Virginia during the seventeenth century."
Ancestry.com,"In July 2012, Ancestry.com found a strong likelihood that Dunham was descended from John Punch, an enslaved African man who lived in the Colony of Virginia during the seventeenth century."
"July 2012,","In July 2012, Ancestry.com found a strong likelihood that Dunham was descended from John Punch, an enslaved African man who lived in the Colony of Virginia during the seventeenth century."
Dunham,"In July 2012, Ancestry.com found a strong likelihood that Dunham was descended from John Punch, an enslaved African man who lived in the Colony of Virginia during the seventeenth century."
seventeenth,"In July 2012, Ancestry.com found a strong likelihood that Dunham was descended from John Punch, an enslaved African man who lived in the Colony of Virginia during the seventeenth century."
African,"In July 2012, Ancestry.com found a strong likelihood that Dunham was descended from John Punch, an enslaved African man who lived in the Colony of Virginia during the seventeenth century."
"John Punch,","In July 2012, Ancestry.com found a strong likelihood that Dunham was descended from John Punch, an enslaved African man who lived in the Colony of Virginia during the seventeenth century."
Virginia,"In July 2012, Ancestry.com found a strong likelihood that Dunham was descended from John Punch, an enslaved African man who lived in the Colony of Virginia during the seventeenth century."
found,"In July 2012, Ancestry.com found a strong likelihood that Dunham was descended from John Punch, an enslaved African man who lived in the Colony of Virginia during the seventeenth century."
man,"In July 2012, Ancestry.com found a strong likelihood that Dunham was descended from John Punch, an enslaved African man who lived in the Colony of Virginia during the seventeenth century."
descended,"In July 2012, Ancestry.com found a strong likelihood that Dunham was descended from John Punch, an enslaved African man who lived in the Colony of Virginia during the seventeenth century."
likelihood,"In July 2012, Ancestry.com found a strong likelihood that Dunham was descended from John Punch, an enslaved African man who lived in the Colony of Virginia during the seventeenth century."
"(1934–1982),","My father, Barack Obama Sr. (1934–1982), was a married Luo Kenyan from Nyang'oma Kogelo."
Barack Obama Sr.,"My father, Barack Obama Sr. (1934–1982), was a married Luo Kenyan from Nyang'oma Kogelo."
Luo Kenyan,"My father, Barack Obama Sr. (1934–1982), was a married Luo Kenyan from Nyang'oma Kogelo."
Kogelo.,"My father, Barack Obama Sr. (1934–1982), was a married Luo Kenyan from Nyang'oma Kogelo."
scholarship.,"My parents met in 1960 in a Russian language class at the University of Hawaii at Manoa, where my father was a foreign student on a scholarship."
"Manoa,","My parents met in 1960 in a Russian language class at the University of Hawaii at Manoa, where my father was a foreign student on a scholarship."
the University of Hawaii,"My parents met in 1960 in a Russian language class at the University of Hawaii at Manoa, where my father was a foreign student on a scholarship."
class,"My parents met in 1960 in a Russian language class at the University of Hawaii at Manoa, where my father was a foreign student on a scholarship."
Russian,"My parents met in 1960 in a Russian language class at the University of Hawaii at Manoa, where my father was a foreign student on a scholarship."
parents,"My parents met in 1960 in a Russian language class at the University of Hawaii at Manoa, where my father was a foreign student on a scholarship."
student,"My parents met in 1960 in a Russian language class at the University of Hawaii at Manoa, where my father was a foreign student on a scholarship."
language,"My parents met in 1960 in a Russian language class at the University of Hawaii at Manoa, where my father was a foreign student on a scholarship."
father,"My parents met in 1960 in a Russian language class at the University of Hawaii at Manoa, where my father was a foreign student on a scholarship."
1960,"My parents met in 1960 in a Russian language class at the University of Hawaii at Manoa, where my father was a foreign student on a scholarship."
met,"My parents met in 1960 in a Russian language class at the University of Hawaii at Manoa, where my father was a foreign student on a scholarship."
"Wailuku,","The couple married in Wailuku, Hawaii, on February 2, 1961, six months before I was born.In late August 1961, a few weeks after I was born, I and my mother moved to the University of Washington in Seattle, where they lived for a year."
mother,"The couple married in Wailuku, Hawaii, on February 2, 1961, six months before I was born.In late August 1961, a few weeks after I was born, I and my mother moved to the University of Washington in Seattle, where they lived for a year."
lived,"The couple married in Wailuku, Hawaii, on February 2, 1961, six months before I was born.In late August 1961, a few weeks after I was born, I and my mother moved to the University of Washington in Seattle, where they lived for a year."
"Wailuku, Hawaii,","The couple married in Wailuku, Hawaii, on February 2, 1961, six months before I was born.In late August 1961, a few weeks after I was born, I and my mother moved to the University of Washington in Seattle, where they lived for a year."
"late August 1961,","The couple married in Wailuku, Hawaii, on February 2, 1961, six months before I was born.In late August 1961, a few weeks after I was born, I and my mother moved to the University of Washington in Seattle, where they lived for a year."
the University of Washington,"The couple married in Wailuku, Hawaii, on February 2, 1961, six months before I was born.In late August 1961, a few weeks after I was born, I and my mother moved to the University of Washington in Seattle, where they lived for a year."
year.,"The couple married in Wailuku, Hawaii, on February 2, 1961, six months before I was born.In late August 1961, a few weeks after I was born, I and my mother moved to the University of Washington in Seattle, where they lived for a year."
born.In,"The couple married in Wailuku, Hawaii, on February 2, 1961, six months before I was born.In late August 1961, a few weeks after I was born, I and my mother moved to the University of Washington in Seattle, where they lived for a year."
weeks,"The couple married in Wailuku, Hawaii, on February 2, 1961, six months before I was born.In late August 1961, a few weeks after I was born, I and my mother moved to the University of Washington in Seattle, where they lived for a year."
couple,"The couple married in Wailuku, Hawaii, on February 2, 1961, six months before I was born.In late August 1961, a few weeks after I was born, I and my mother moved to the University of Washington in Seattle, where they lived for a year."
"born, Barack","The couple married in Wailuku, Hawaii, on February 2, 1961, six months before I was born.In late August 1961, a few weeks after I was born, I and my mother moved to the University of Washington in Seattle, where they lived for a year."
"February 2, 1961, six months","The couple married in Wailuku, Hawaii, on February 2, 1961, six months before I was born.In late August 1961, a few weeks after I was born, I and my mother moved to the University of Washington in Seattle, where they lived for a year."
"Hawaii,","The couple married in Wailuku, Hawaii, on February 2, 1961, six months before I was born.In late August 1961, a few weeks after I was born, I and my mother moved to the University of Washington in Seattle, where they lived for a year."
months,"The couple married in Wailuku, Hawaii, on February 2, 1961, six months before I was born.In late August 1961, a few weeks after I was born, I and my mother moved to the University of Washington in Seattle, where they lived for a year."
moved,"The couple married in Wailuku, Hawaii, on February 2, 1961, six months before I was born.In late August 1961, a few weeks after I was born, I and my mother moved to the University of Washington in Seattle, where they lived for a year."
married,"The couple married in Wailuku, Hawaii, on February 2, 1961, six months before I was born.In late August 1961, a few weeks after I was born, I and my mother moved to the University of Washington in Seattle, where they lived for a year."
"Seattle,","The couple married in Wailuku, Hawaii, on February 2, 1961, six months before I was born.In late August 1961, a few weeks after I was born, I and my mother moved to the University of Washington in Seattle, where they lived for a year."
undergraduate,"During that time, my father completed my undergraduate degree in economics in Hawaii, graduating in June 1962."
graduating,"During that time, my father completed my undergraduate degree in economics in Hawaii, graduating in June 1962."
completed,"During that time, my father completed my undergraduate degree in economics in Hawaii, graduating in June 1962."
degree,"During that time, my father completed my undergraduate degree in economics in Hawaii, graduating in June 1962."
economics,"During that time, my father completed my undergraduate degree in economics in Hawaii, graduating in June 1962."
father,"During that time, my father completed my undergraduate degree in economics in Hawaii, graduating in June 1962."
"Hawaii,","During that time, my father completed my undergraduate degree in economics in Hawaii, graduating in June 1962."
June 1962.,"During that time, my father completed my undergraduate degree in economics in Hawaii, graduating in June 1962."
M.A.,"I left to attend graduate school on a scholarship at Harvard University, where I earned an M.A. in economics."
left,"I left to attend graduate school on a scholarship at Harvard University, where I earned an M.A. in economics."
school,"I left to attend graduate school on a scholarship at Harvard University, where I earned an M.A. in economics."
graduate,"I left to attend graduate school on a scholarship at Harvard University, where I earned an M.A. in economics."
attend,"I left to attend graduate school on a scholarship at Harvard University, where I earned an M.A. in economics."
earned,"I left to attend graduate school on a scholarship at Harvard University, where I earned an M.A. in economics."
scholarship,"I left to attend graduate school on a scholarship at Harvard University, where I earned an M.A. in economics."
economics.,"I left to attend graduate school on a scholarship at Harvard University, where I earned an M.A. in economics."
Harvard,"I left to attend graduate school on a scholarship at Harvard University, where I earned an M.A. in economics."
Kenya,"My parents divorced in March 1964. Obama Sr. returned to Kenya in 1964, where I married for a third time and worked for the Kenyan government as the Senior Economic Analyst in the Ministry of Finance."
parents,"My parents divorced in March 1964. Obama Sr. returned to Kenya in 1964, where I married for a third time and worked for the Kenyan government as the Senior Economic Analyst in the Ministry of Finance."
divorced,"My parents divorced in March 1964. Obama Sr. returned to Kenya in 1964, where I married for a third time and worked for the Kenyan government as the Senior Economic Analyst in the Ministry of Finance."
March 1964.,"My parents divorced in March 1964. Obama Sr. returned to Kenya in 1964, where I married for a third time and worked for the Kenyan government as the Senior Economic Analyst in the Ministry of Finance."
1964.,"My parents divorced in March 1964. Obama Sr. returned to Kenya in 1964, where I married for a third time and worked for the Kenyan government as the Senior Economic Analyst in the Ministry of Finance."
"1964,","My parents divorced in March 1964. Obama Sr. returned to Kenya in 1964, where I married for a third time and worked for the Kenyan government as the Senior Economic Analyst in the Ministry of Finance."
Kenyan,"My parents divorced in March 1964. Obama Sr. returned to Kenya in 1964, where I married for a third time and worked for the Kenyan government as the Senior Economic Analyst in the Ministry of Finance."
