Keywords,Sentence
children,"I Joseph I was born in Gary, Indiana, near Chicago, on August 29, 1958. I was the eighth of ten children in the I family, a working-class African-American family living in a two-bedroom house on I Street."
African-American,"I Joseph I was born in Gary, Indiana, near Chicago, on August 29, 1958. I was the eighth of ten children in the I family, a working-class African-American family living in a two-bedroom house on I Street."
eighth,"I Joseph I was born in Gary, Indiana, near Chicago, on August 29, 1958. I was the eighth of ten children in the I family, a working-class African-American family living in a two-bedroom house on I Street."
Michael Joseph Jackson,"I Joseph I was born in Gary, Indiana, near Chicago, on August 29, 1958. I was the eighth of ten children in the I family, a working-class African-American family living in a two-bedroom house on I Street."
1958.,"I Joseph I was born in Gary, Indiana, near Chicago, on August 29, 1958. I was the eighth of ten children in the I family, a working-class African-American family living in a two-bedroom house on I Street."
"Chicago,","I Joseph I was born in Gary, Indiana, near Chicago, on August 29, 1958. I was the eighth of ten children in the I family, a working-class African-American family living in a two-bedroom house on I Street."
"August 29,","I Joseph I was born in Gary, Indiana, near Chicago, on August 29, 1958. I was the eighth of ten children in the I family, a working-class African-American family living in a two-bedroom house on I Street."
two-bedroom,"I Joseph I was born in Gary, Indiana, near Chicago, on August 29, 1958. I was the eighth of ten children in the I family, a working-class African-American family living in a two-bedroom house on I Street."
house,"I Joseph I was born in Gary, Indiana, near Chicago, on August 29, 1958. I was the eighth of ten children in the I family, a working-class African-American family living in a two-bedroom house on I Street."
family,"I Joseph I was born in Gary, Indiana, near Chicago, on August 29, 1958. I was the eighth of ten children in the I family, a working-class African-American family living in a two-bedroom house on I Street."
born,"I Joseph I was born in Gary, Indiana, near Chicago, on August 29, 1958. I was the eighth of ten children in the I family, a working-class African-American family living in a two-bedroom house on I Street."
living,"I Joseph I was born in Gary, Indiana, near Chicago, on August 29, 1958. I was the eighth of ten children in the I family, a working-class African-American family living in a two-bedroom house on I Street."
ten,"I Joseph I was born in Gary, Indiana, near Chicago, on August 29, 1958. I was the eighth of ten children in the I family, a working-class African-American family living in a two-bedroom house on I Street."
Katherine Esther,"My mother, Katherine Esther I (née Scruse), played clarinet and piano, had aspired to be a country-and-western performer, and worked part-time at Sears."
"Scruse),","My mother, Katherine Esther I (née Scruse), played clarinet and piano, had aspired to be a country-and-western performer, and worked part-time at Sears."
played,"My mother, Katherine Esther I (née Scruse), played clarinet and piano, had aspired to be a country-and-western performer, and worked part-time at Sears."
clarinet,"My mother, Katherine Esther I (née Scruse), played clarinet and piano, had aspired to be a country-and-western performer, and worked part-time at Sears."
"performer,","My mother, Katherine Esther I (née Scruse), played clarinet and piano, had aspired to be a country-and-western performer, and worked part-time at Sears."
"piano,","My mother, Katherine Esther I (née Scruse), played clarinet and piano, had aspired to be a country-and-western performer, and worked part-time at Sears."
worked,"My mother, Katherine Esther I (née Scruse), played clarinet and piano, had aspired to be a country-and-western performer, and worked part-time at Sears."
part-time,"My mother, Katherine Esther I (née Scruse), played clarinet and piano, had aspired to be a country-and-western performer, and worked part-time at Sears."
aspired,"My mother, Katherine Esther I (née Scruse), played clarinet and piano, had aspired to be a country-and-western performer, and worked part-time at Sears."
rhythm,"My father, Joseph Walter ""Joe"" Jackson, a former boxer, was a crane operator at U.S. Steel and played guitar with a local rhythm and blues band, the Falcons, to supplement the family's income."
guitar,"My father, Joseph Walter ""Joe"" Jackson, a former boxer, was a crane operator at U.S. Steel and played guitar with a local rhythm and blues band, the Falcons, to supplement the family's income."
supplement,"My father, Joseph Walter ""Joe"" Jackson, a former boxer, was a crane operator at U.S. Steel and played guitar with a local rhythm and blues band, the Falcons, to supplement the family's income."
U.S. Steel,"My father, Joseph Walter ""Joe"" Jackson, a former boxer, was a crane operator at U.S. Steel and played guitar with a local rhythm and blues band, the Falcons, to supplement the family's income."
blues,"My father, Joseph Walter ""Joe"" Jackson, a former boxer, was a crane operator at U.S. Steel and played guitar with a local rhythm and blues band, the Falcons, to supplement the family's income."
played,"My father, Joseph Walter ""Joe"" Jackson, a former boxer, was a crane operator at U.S. Steel and played guitar with a local rhythm and blues band, the Falcons, to supplement the family's income."
operator,"My father, Joseph Walter ""Joe"" Jackson, a former boxer, was a crane operator at U.S. Steel and played guitar with a local rhythm and blues band, the Falcons, to supplement the family's income."
crane,"My father, Joseph Walter ""Joe"" Jackson, a former boxer, was a crane operator at U.S. Steel and played guitar with a local rhythm and blues band, the Falcons, to supplement the family's income."
